Number,Company,Model Name,Problem 1,Problem 2,HIN,Disposition,Units,Boat Type,Severity,MIC,Company Official,Model Year,Case Open Date,Case Close Date,Campaign Open Date,Campaign Close Date,Last Date
000125T,BOMBARDIER INC,SEA DOO RX DI AND GTX DI,FUEL SYSTEM,,,Closed,3272,17,H,ZZN,WAC,2000,7/11/2000,9/23/2009,7/11/2000,9/23/2009,7/7/2000
000201T,ARCTIC CAT INC,DAYTONA & MONTE CARLO,FUEL FILLER NECK CRACKING,,,Closed,9436,17,H,ARJ,WAC,1997,9/6/2000,7/20/2005,9/6/2000,7/20/2005,9/6/2000
971535S,STINGER BOATS OF CHARLST.INC.,160 STINGER,LEVEL FLOTATION,,CFC00105C696,Closed,10,11,l,CFC,GEL,1996,10/15/1997,,10/15/1997,,3/6/2000
000023S,TIARA YACHTS,VARIOUS,FUEL TANK LEAKS,,SSU.....,Closed,473,13,H,SSU,PDE,,2/2/2000,9/29/2004,8/3/2000,9/29/2004,8/3/2000
990025S,COBALT BOATS,,ELECTRICAL - GROUND,,,Closed,13,13,H,FGE,DRG,1999,3/11/1999,3/13/2000,3/11/1999,3/13/2000,3/3/2000
940307T,MERCURY MARINE,MCM V8 STERN DRIVE ENGINE,FUEL FILTER CORROSION,,,CLOSED,29754,,H,,RJD,1994,,,12/30/1994,3/19/2002,8/2/2000
980151T,KAWASAKI MOTORS CORP USA,JS-750 C1,STEERING,,,Closed,1966,17,H,KAW,WAC,1998,9/3/1998,2/2/2000,9/3/1998,2/2/2000,2/2/2000
000009S,BAYLINER MARINE CORP,CIERA 2455SK,LABEL; CERTIFICATION,,,Closed,225,13,L,BLG,DRG,2000,1/11/2000,,1/11/2000,2/2/2000,2/2/2000
990192T,PRO-LINE BOATS INC,ALL 2000 MODEL YEAR,ELECTRICAL SYSTEM,BREAKER BOX,PLC,Closed,147,11,H,PLC,PDE,2000,12/1/1999,6/7/2005,12/1/1999,6/7/2005,6/1/2000
951419S,DYNASTY BOATS INC,PS1780,LEVEL FLOTATION,,,Closed,5,11,L,MJI,GEL,1995,12/18/1995,3/12/1999,4/8/1996,3/12/1999,3/11/1999
980036S,SUNBIRD BOAT CO INC,NEPTUNE 180 & 181,LABEL - CAPACITY TO HIGH,,SFPT0040G798,Closed,72,11,L,SFP,DRG,1998,3/9/1998,12/10/1999,3/9/1998,12/10/1999,12/10/1999
991648s,R.B. RODGERS YACHT SALES,BABY FUN,SAFE LOAD: MAX WGT,,TRHBA778E899,Closed,43,11,L,RGA,gel,1999,8/30/1999,,10/14/1999,12/20/1999,11/9/1999
970086S,STRATOS BOATS INC,HYDRA-SPORT (SEE NEXT PAGE),LEVEL FLOTATION,,,Closed,1240,11,L,BNZ,GEL,,7/23/1997,6/19/2001,2/6/1998,6/19/2001,8/9/1999
990182S,MARINE POWER,INBOARD ENGINE,IGNITION PROTECTION,,,CLOSED,10,,H,,DRG,1999,10/27/1999,2/28/2000,10/27/1999,2/28/2000,12/8/1999
980233T,PRO-LINE BOATS INC,,ELECTRICAL BOARD MAY OVER,HEAT,PLC,Closed,772,13,L,PLC,PDE,1998,12/24/1998,12/22/2000,1/30/1999,12/22/2000,6/8/1999
980072S,DURACRAFT MARINE CORPORATION,1436 LHCR,LABEL - CAPACITY WRONG,,DCAC7201F697,Closed,68,11,L,DCA,DRG,,5/28/1998,4/8/1999,5/28/1998,4/8/1999,4/8/1999
980006S,SMOKER-CRAFT INC,161 PRO MAG,SAFE LOAD,,,Closed,1918,11,L,SMK,GEL,,1/30/1998,,3/10/1998,12/20/1999,10/7/1999
960067S,HARRIS-KAYOT INC,22 FT SUPERDEK/ULTRADEK,LABEL - BLOWER WARNING,,KAY & HAM MICS,Closed,78,12,L,KAY,DRG,1996,7/30/1996,10/7/1999,7/30/1996,10/7/1999,10/7/1999
971562S,ASTRO/PROCRAFT BOATS,1450,SAFE LOAD,LEVEL FLOTATION,MGIA0437K596,Closed,60,11,L,MGI,GEL,1996,1/12/1998,8/11/2003,3/3/1998,8/11/2003,6/7/1999
970084T,FINELINE INDUSTRIES INC,SKI BOAT,STEERING - RUDDER BREAKS,,FINA6452-7201,Closed,154,12,H,FIN,DRG,1997,7/21/1997,5/10/1999,7/21/1997,5/10/1999,4/7/1999
980127T,HUNTER MARINE CORP,170 DAYSAILER,RUDDER HEAD ASSEMBLY,,HUN17101K798,Closed,183,14,L,HUN,DRG,,7/31/1998,1/6/1999,7/31/1998,1/6/1999,1/6/1999
981607S,SALTY BOATS OF MAINE,14 CC GREAT BAY,LEVEL FLOTATION,,SIY14018E696,Closed,7,11,L,SIY,GEL,1996,3/12/1999,12/21/2001,5/5/1999,12/21/2001,5/5/1999
961488S,OUTBOARD MARINE CORP,15' SPORTBOAT,LEVEL FLOTATION,,OMCM8651B494,Closed,544,11,L,OMC,GEL,1994,3/26/1997,6/8/2001,8/12/1997,6/8/2001,8/4/1999
981595S,FIBERPLEX BOAT WORKS,8' TUFFY TENDER,SAFE LOADING,LEVEL FLOTATION,TFT00645D296,Closed,315,11,L,TFT,GEL,1996,9/24/1998,1/4/1999,10/30/1998,1/4/1999,1/4/1999
950225T,RINKER BOAT CO INC,,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,4465,,H,RNK,DRG,,9/13/1995,1/4/1999,9/13/1995,1/4/1999,1/4/1999
970111T,FIBER SPORT INC,"""267, 267F/S, 252 262""",STEERING,,,Closed,179,11,H,FIW,GEL,,10/21/1997,,10/21/1997,10/18/1999,8/3/1999
971545S,STARCRAFT MARINE LLC,12 SK,SAFE LOAD: MAX WT,SAFE LOAD: PERS,STRA25TAH596,Closed,50,11,L,STR,GEL,1996,7/29/1997,,12/15/1997,5/3/2000,8/3/1999
980223T,MAINSHIP CORP,30 PILOT AND 350 TRAWLER,ELECTRICAL,,,Closed,116,12,L,MPC,GEL,1997,12/9/1998,,10/9/1998,3/17/1999,2/3/1999
980224T,LUHRS,36 SX EX and 36 CVT,ELECTRICAL,,,Closed,82,12,L,LHR,GEL,1997,12/9/1998,,10/9/1998,3/9/1999,2/3/1999
981574S,SEMINOLE MARINE,174CC,LEVEL FLOTATION,,YSIB0028L798,Closed,47,11,L,YSI,GEL,1998,7/9/1998,8/11/2003,11/2/1999,8/11/2003,11/2/1999
980173T,U.S. COAST GUARD HEADQUARTERS,4.5 BCGTC 4.5 BCGTE 7.2 BCTGE &,ELECTRICAL - SHORT,SEE REMARKS,,Closed,1600,34,H,HQZ,PDE,,10/27/1998,6/7/2005,10/27/1998,6/7/2005,11/1/1999
980155T,AQUASPORT DIVISION,215 DUAL CONSOLE,SKI PYLON CAN BREAK,,XLB.........,Closed,28,12,L,AQA,PDE,,8/21/1998,11/22/1999,8/21/1998,11/22/1999,1/1/1999
950264T,TRITON INDUSTRIES INC,MANITOU PONTOON BOATS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,TII.........,Closed,158,,H,TII,DRG,1995,9/13/1995,9/9/1998,11/1/1995,9/9/1998,8/11/1998
961497S,SUNBIRD BOAT CO INC,NEPTUNE 160,SAFE LOAD: MAX PERS,LEVEL FLOTATION,SFPS0009F697,Closed,478,11,L,SFP,GEL,1997,3/26/1996,6/8/2001,5/5/1997,6/8/2001,7/10/1998
960111S,GLASTRON INC,SE-170,LEVEL FLOTATION,,GLAN6073F697--,Closed,51,11,H,GLA,DRG,1997,11/18/1996,6/11/1998,11/18/1996,6/11/1998,6/10/1998
960050T,LARSON BOATS,280 & 310 CABRIO,ELECTRICAL - GEN WIRING,,LAR.....E494,Closed,30,13,H,LAR,DRG,,6/3/1996,6/11/1998,6/5/1996,6/11/1998,6/10/1998
941331S,CHALLENGER BOATS,1740 BASS,SAFE LOAD: PERS WT,SAFE LOAD: MAX WT,CHQ40569I495,Closed,8,,H,CHQ,GEL,1995,3/10/1995,,3/18/1998,3/18/1998,3/10/1998
981577S,PACKARD INC,SPORT DINGHY,SAFE LOADING,LEVEL FLOTATION,PCK10005B898,Closed,3,11,L,PCK,GEL,1998,7/19/1998,12/9/1998,8/11/1998,12/9/1998,12/9/1998
950242T,SMOKER-CRAFT INC,VARIOUS WITH MIC SMK/SYL,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,SYL.........,Closed,313,13,H,SMK,DRG,,9/13/1995,9/9/1998,11/1/1995,9/9/1998,9/9/1998
950160T,FIBER SPORT INC,185 & 210 PROMASTER,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,FIW.........,Closed,301,,H,FIW,DRG,,9/13/1995,9/9/1998,11/1/1995,9/9/1998,9/9/1998
970117T,SABRE CORPORATION,SABRE 362,STEERING RUDDER STOCK FAI,LURE,,Closed,86,14,L,HWS,PDE,,10/24/1997,,10/24/1997,10/30/1998,6/9/1998
930262S,CELEBRITY BOATS INC,1900 CC FISH HAWK,LEVEL FLOTATION STABILITY,,CLC16347J394,Closed,43,,H,CLC,gel,1994,3/1/1994,,4/4/1994,8/25/1999,9/8/1998
971565S,SUNDANCE BOAT INC,V150,SAFE LOAD: PERS WGT,,SVT50105E696,Closed,50,11,L,SVT,GEL,1996,1/12/1998,,2/9/1998,5/8/1998,5/8/1998
961458S,SUNDANCE BOATS INC,F-160,LEVEL FLOTATION,,SVTF6140F596,Closed,,11,H,SVT,GEL,1996,9/9/1996,5/7/1998,5/7/1998,8/25/1999,5/7/1998
971508S,SCOUT BOATS INC,162 SCOUT,SAFE LOAD: PERS WGT,SAFE LOAD: MAX WGT,SLPE4792L697,Closed,231,11,L,SLP,GEL,1997,9/18/1997,,5/7/1998,5/8/1998,5/7/1998
960125T,OUTBOARD MARINE CORP,25 & 35 HP OUTBOARD MOTORS,TILT LOCK NUT TORQUE,,,Closed,1746,34,L,OMC,DRG,,11/6/1998,11/6/1998,8/1/1996,11/6/1998,11/6/1998
950359T,,FORCE/GAMEFISHER/ZODIAC,FLYWHEEL HUB,,,CLOSED,6205,,H,,RJD,94/5,,,12/15/1995,11/19/1998,5/6/1998
970059T,MERCURY MARINE,,FAULTY FLAME ARRESTOR,,,Closed,5975,,H,HQZ,RJD,1997,4/1/1997,4/1/2002,4/1/1997,4/1/2002,5/6/1998
950333T,,,ELECTRICALGROUND,ENGINE UNITS,VARIOUS,CLOSED,4720,,H,,RJD,1994,,,11/2/1994,11/19/1998,5/6/1998
950358T,,MARATHON AND SEAPRO,START IN GEAR,,,CLOSED,1662,,H,,RJD,1994,,,12/15/1995,11/18/1998,5/6/1998
950360T,,MERCURY AND MARINER O/B,FLYWHEEL RING GEAR,,,CLOSED,4366,,H,,RJD,1995,,,12/15/1995,11/19/1998,5/6/1998
961438S,THOMAS MARINE,160 PREDATOR,LEVEL FLOTATION,SAFE LOAD: PERS,,Closed,6,11,L,TOR,GEL,1995,2/28/1996,,4/6/1998,8/25/1999,4/6/1998
940206T,N & N MARINE INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,,VARIOUS,Closed,6,,H,GAE,RJD,1994,9/2/1994,,9/2/1994,1/6/1998,1/6/1998
940235T,SMOKER-CRAFT,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,,VARIOUS,Closed,2,,H,RSB,RJD,1994,9/2/1994,,9/2/1994,1/6/1998,1/6/1998
971516S,GREGOR BOAT COMPANY,EAGLE,SAFE LOAD:PERS,SAFE LOAD: MAX WT,GBC41842C595,Closed,51,11,L,GBC,GEL,1995,5/9/1997,,8/1/1997,12/28/1999,11/5/1998
971527S,FULLOUT BOATS LLC,SEA SKATE,SAFE LOAD,LEVEL FLOTATION,CPRSW020K697,Closed,86,11,L,CPR,GEL,1997,7/29/1997,,10/8/1997,7/15/1999,11/5/1998
950138T,CHAMPION BOATS,VARIOUS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,TSB.........,Closed,1763,,H,TSB,DRG,,9/13/1995,8/19/1998,11/1/1995,8/19/1998,5/5/1998
971521S,AMERICAN SAIL INC,10' PENNANT DAY SAILOR,SAFE LOADING: PER WGT,SAFE LOADING: MAX WGT,ANFD2646C797,Closed,164,11,L,ANF,GEL,1997,9/15/1997,,12/17/1997,8/17/1998,5/5/1998
941332S,CONNERY,FLATS KING,LEVEL FLOTATION,,WEC10013J495,Closed,12,,H,WEC,GEL,1995,3/31/1995,,8/26/1999,12/21/2000,3/5/1998
951381S,D.B.R. SPORTS INC,12 FT NIGHTFLY,LEVEL FLOTATION,,ZEF00609F595,Closed,13,,L,ZEF,GEL,1995,7/27/1995,,3/5/1998,8/25/1999,3/5/1998
950163T,RANGER BOATS,"""REBEL 158/1585, 397 S/XT""",FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,RNG.........,Closed,530,,H,RNG,DRG,,9/13/1995,8/19/1998,11/1/1995,8/19/1998,5/4/1998
950147T,ZODIAC OF NORTH AMERICA,,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,48,,H,XDC,DRG,,9/13/1995,5/4/1998,9/11/1995,5/4/1998,5/4/1998
950192T,GLASTRON INC,GS160/180/185/187/205/207,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,GLA.........,Closed,608,,H,GLA,DRG,,9/13/1995,8/19/1998,11/1/1995,8/19/1998,5/4/1998
950198T,MASTERCRAFTERS INC,155/170/1700/180,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,MBV.........,Closed,51,,H,MBV,DRG,1996,9/13/1995,5/4/1998,11/1/1995,5/4/1998,5/4/1998
950121T,PLAYBUOY PONTOON MFG INC,,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,114,,H,DVN,DRG,,9/13/1995,5/4/1998,11/6/1997,5/4/1998,5/4/1998
950155T,EBBTIDE CORP,RX19 JET,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,ETC.........,Closed,7,,H,ETC,DRG,,9/13/1995,5/4/1998,11/1/1995,5/4/1998,5/4/1998
960046T,CORRECT CRAFT INC,94 AND 95 MODELS WITH EFI,FUEL TANK GASKET,,,Closed,2196,12,,CTC,GEL,,5/7/1996,,6/19/1996,3/17/1999,12/3/1998
971507S,BOSTON WHALER INC,15' DAUNTLESS,SAFE LOAD: PERS WT,SAFE LOAD: MAX WT,BWCHC513A797,Closed,2651,11,L,BWC,GEL,1997,5/19/1997,4/3/1998,7/31/1997,4/3/1998,4/3/1998
951390S,BLAZER BOATS INC,VLX 150 BASS BOAT,LEVEL FLOTATION,SAFE LOAD: MAX WT,,Closed,24,,L,PNS,GEL,1995,3/19/1996,,6/12/1997,8/25/1999,3/3/1998
980210T,STARCRAFT MARINE LLC,PONTOON,NAV LIGHTS - GLOW BLUE,,MNX29115H899,Closed,106,21,H,MNX,RJD,1999,10/2/1998,,9/1/1999,3/4/2002,12/2/1998
961433S,FIBER SPORT INC,SPRINT 267,LEVEL FLOTATION,,,Closed,271,11,L,FIW,GEL,1995,5/13/1996,,6/6/1996,12/20/1999,10/1/1998
980049T,MAINSHIP CORP,34 MOTOR YACHT,FUEL SYSTEMS,,MPC34016C696,Closed,71,12,H,MPC,GEL,1996,3/20/1998,,7/17/1998,4/12/1999,10/1/1998
970122T,BAJA BOATS INC,MODELS WITH CAPTAINS CALL WIRING,ELECTRICAL WIRING TOO,CLOSE TO ENGINE,,Closed,353,13,H,AGC,PDE,,11/18/1997,,11/18/1997,5/20/2004,6/1/1998
961469S,MCKEE CRAFT,16' WACCAMAW,SAFE LOAD: PERS WT,SAFE LOAD: MAX WT,MKC62255J596,Closed,54,11,L,MKC,GEL,1996,10/1/1996,,5/8/1998,8/25/1999,5/1/1998
961467S,YAR-CRAFT INC,1778 WALLEYE WINNEBAGO,HORSEPOWER,LEVEL FLOTATION,YAR08295L495,Closed,4,11,L,YAR,GEL,1995,9/9/1996,,8/12/1997,8/12/1997,8/12/1997
960086T,PLEASURECRAFT MARINE ENGINE,GM 5.7 TBI ENGINES,ELECTRICAL WIRING HARNESS,,,Closed,162,34,H,PCM,RJD,1996,,,11/1/1996,12/11/1997,12/11/1997
950354T,,MERCRUISER STERN DRIVE,POTENTIAL FUEL LEAK,,,CLOSED,2789,,H,,RJD,1993,,12/10/1997,11/15/1995,12/10/1997,12/10/1997
950356T,,MERCRUISER STERN DRIVE,RF FILTER FOR FUEL PUMP,,,CLOSED,17705,,H,,RJD,1992,,,11/15/1995,12/10/1997,12/10/1997
960027T,CARVER BOAT CORP,SANTEGO/EXPRESS/AFT CABIN,FUEL TANK GASKET,,,Closed,121,12,H,CDR,RJD,1995,2/22/1996,3/13/1997,1/16/1996,12/10/1997,12/10/1997
951357S,PRODUITS NAUTIQUES ALTRA INC,PRO 142 BT,LEVEL FLOTATION,,ZZA84077I495,Closed,136,,L,ZZA,GEL,1995,11/27/1995,,11/27/1995,6/26/1997,12/10/1997
950361T,,MERCRUISER STERN DRIVE,FUEL FILTER LEAK,,,CLOSED,1130,,H,,RJD,93/4,,,12/15/1995,12/10/1997,12/10/1997
950119T,ANCHOR INDUSTRIES INC,SKIDECK XLS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,ANP.........,Closed,100,,H,ANP,DRG,,9/13/1995,7/10/1997,11/1/1995,7/10/1997,7/10/1997
961498S,TRI-STATE CUSTOM FBGLS INC,16' C-HAWK,LEVEL FLOTATION,,KME05402G697,Closed,14,11,L,KME,GEL,1997,4/10/1997,,6/10/1997,10/20/1997,6/10/1997
950293T,POLARIS INDUSTRIES LP,ALL 1995 PWC,STEERING,,,Closed,30122,,H,PLE,WAC,1995,10/10/1995,,10/10/1995,6/27/2000,12/9/1997
950114T,ALUMA CRAFT BOAT CO.,TROPHY 190,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,VARIOUS,Closed,31,,H,ALP,RJD,1995,9/13/1995,,10/13/1995,3/21/2002,12/9/1997
950127T,STRATOS BOATS INC,1600 & 1700 SPORTSMAN,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,BNZ.........,Closed,154,,H,BNZ,DRG,,9/13/1995,2/2/1998,11/1/1995,2/2/1998,12/9/1997
940136T,,SPORT JET 90 ENGINE,JET DRIVE REVERSE GATE,,,CLOSED,4153,,H,,RJD,1994,,12/9/1997,5/27/1994,12/9/1997,12/9/1997
950109T,CHRIS-CRAFT CORP,18GZ,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,221,,H,CCC,RJD,1996,9/13/1995,12/9/1997,11/1/1995,12/9/1997,12/9/1997
950187T,JETCRAFT BOATS INC,OUTBOARDS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,SEE FOLDER,Closed,234,,H,JDT,RJD,1995,9/13/1995,1/30/2002,11/1/1995,3/21/2002,12/9/1997
940135T,,SPORT JET 90 ENGINE,SHIFT CABLE,,,CLOSED,3603,,H,,RJD,1994,,12/9/1997,5/27/1994,12/9/1997,12/9/1997
950171T,GODFREY MARINE COMPANY,VARIOUS SEE REMARKS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,979,,H,GDY,RJD,1995,9/13/1995,,11/1/1995,3/21/2002,12/9/1997
950161T,CHAPARRAL BOATS INC,"""1935SS, 2135SS, 2335SS""",FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,438,,H,FGB,PDE,1995,9/13/1995,9/9/1997,11/1/1995,9/9/1997,9/9/1997
920416T,SEA RAY BOATS INC,SPORT BOATS 24' & LESS,FUEL LEAKAGE,,SER.........,Closed,4671,,H,SER,DRG,1992,8/27/1992,7/9/1997,8/27/1992,7/9/1997,7/9/1997
960033T,HUNTER MARINE CORP,H-280,ELECTRICAL - SHOCK HAZARD,,HUN28001F596,Closed,85,14,H,HUN,DRG,1996,3/29/1996,8/7/1997,4/16/1996,8/7/1997,8/5/1997
950238T,DELTA STAR INDUSTRIES INC,DS-100,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,YMC10006K495,Closed,6,,H,YMC,DRG,1995,9/13/1995,2/5/1997,11/1/1995,2/5/1997,2/5/1997
961484s,CAROLINA SKIFF,LIL JON 12,LEVEL FLOTATION,,EKHN0068K596,Closed,192,11,L,EKH,GEL,1996,12/12/1996,,1/30/1997,4/2/1997,2/5/1997
950118T,ANCHOR INDUSTRIES INC,HYDROFORCE,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,AFP.........,Closed,44,,H,AFP,DRG,,9/13/1995,11/3/1997,11/1/1995,11/3/1997,11/3/1997
950263T,"""TRACKER MARINE, L.P.""",160-TF,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,BUJ.........,Closed,289,,H,BUJ,DRG,1996,9/13/1995,9/3/1997,11/1/1995,9/3/1997,9/2/1997
960112T,,NC ENGINES SEE REMARKS FOR LIST,FUEL VAPOR SEPARATOR BOLT,NOT TORQUED TO SPEC,,CLOSED,2841,32,H,,PDE,,12/4/1996,11/23/1999,11/22/1996,11/23/1999,8/1/1997
961490S,"""TRACKER MARINE, L.P.""",SUPER GV14T OPEN FISH,LEVEL FLOTATION,,BUJ32837C696,Closed,87,11,L,BUJ,GEL,1996,2/28/1997,8/11/2003,7/1/1997,8/11/2003,7/1/1997
951358S,PLAYTIME MANUFACTURING,16' BOW RIDER,LEVEL FLOTATION,,OHD02597B595,Closed,12,,H,OHD,GEL,1995,6/21/1995,,6/21/1995,5/13/1997,5/1/1997
961475s,CAROLINA SKIFF,V1965 19' OPEN FISHERMAN,SAFE LOAD: PERS WT,SAFE LOAD: MAX PERS,EKHR0413H697,Closed,511,11,L,EKH,GEL,1997,11/12/1996,,2/5/1997,7/16/1997,3/1/1997
950159T,KEY WEST BOATS INC,2300 C,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,34,,H,KWE,PDE,1995,9/13/1995,11/22/1996,10/6/1995,11/22/1996,11/12/1996
941316S,VIPER BOATS INC,1700 VIPER,LEVEL FLOTATION: FAILED,,RFK17204H595,Closed,9,,H,RFK,GEL,1995,3/10/1995,,10/16/1995,6/12/1996,6/12/1996
950129T,BOSTON WHALER INC,"""18' RAGE, 17' DAUNTLESS""",FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,465,,H,BWC,GEL,,9/13/1995,6/6/2005,11/1/1995,6/6/2005,10/10/1996
951373s,BUMBLE BEE BOATS,V-15,LEVEL FLOTATION,SAFE LOAD: MAX WT,,Closed,31,11,H,MDT,GEL,1994,4/2/1996,,5/1/1996,4/2/1997,10/10/1996
941291S,K L INDUSTRIES,PRO 120 SUN DOLPHIN,SAFE LAOD MAX PERS MAX WT,STABILITY PORT,HII10889D494,Closed,135,,H,HII,RJD,1994,8/12/1994,4/10/1996,8/12/1994,4/10/1996,4/9/1996
950223T,REGAL BOATS,,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,199,,H,RGM,GEL,,9/13/1995,6/7/2005,11/1/1995,6/7/2005,2/9/1996
920058T,,GENERATION 5 GMC BLOCK,FUEL FILTER TO LONG,VIBRATION/FUEL LEAK,,CLOSED,2616,,H,,RJD,1991,1/17/1992,,1/17/1992,1/14/1997,8/8/1996
920280T,,MCM 4.3L/4.3LX ENGINES,ELECTRICAL DISTR CAP SEAL,,,CLOSED,13118,,H,,RJD,1992,4/16/1992,,4/16/1992,8/8/1996,8/8/1996
950104T,SUMERSET HOUSEBOATS,HOUSEBOATS - ALL MODELS,ELECTRICAL AC STRAY CURR,SHOCK HAZARD,,Closed,1250,,H,SZJ,PDE,,8/29/1995,10/31/1996,10/13/1995,10/31/1996,10/7/1996
940253T,BOSTON WHALER INC,VARIOUS,STEERING BINDING CLUTCH,ROLLERS NO-FEEDBACK HELM,BWC.........,Closed,584,,L,BWC,DRG,1993,7/2/1993,5/7/1996,10/26/1994,5/7/1996,5/7/1996
